가수,점수
이종민,0.0083355
김민,0.00832
테일러,0.00832
LEEZ,0.0082785
이든,0.0082785
Ollounder,0.0082785
RonnyVidarSvendsen,0.008235
JonasBjordal,0.008235
MartinMulholland,0.008235
ToojiKeshtkar,0.008235
MatsKorayGenc,0.008235
NerminHarambasic,0.008235
SaimaMian,0.008235
비비,0.0081095
GinoBarletta,0.0081095
BrittenNewbill,0.0081095
CurtisARichardson,0.0080998
AdienLewis,0.0080998
PhilSchwan,0.0079772
AndrewChoi,0.0079521
LIL27CLUB,0.0079417
강연욱,0.0079026
윤상조,0.0079026
PerChristianOttestadakaBoots,0.0078982
MyrtoulaRoe,0.0078982
한재호,0.0078971
송수윤,0.0078971
O.R.O,0.0078706
KeiichiroKatayama,0.0076932
AppuKrishnan,0.0076932
Justakiid,0.0076932
BEVERLYKIDZ,0.0076076
Alawn,0.007596
PeterRycroft,0.007596
이후상,0.007565
스페이스카우보이,0.0075126
Bull$EyE,0.0074616
박철근,0.007459
신쿵,0.0074586
블락비(BlockB),0.0074526
R3hab,0.0074013
MichaelFatkin,0.0074013
케빈오빠,0.007373
송희진,0.007373
ChrisWahle,0.007373
RolandSpreckley,0.0073116
방건우,0.0072185
RistoArmasAsikainen,0.0071505
AlexandruCotoiFlorin,0.006852
WayneHector,0.006852
MarcelBotezan,0.006852
CarlosBattey,0.006852
BreyanStanleyIsaac,0.006852
RyanTedder,0.0067817
강민훈,0.006756
SamMerrifield,0.0065925
이형탁,0.0064797
이형주,0.0064797
이아일,0.006418
no2zcat,0.006418
JUNNY,0.006418
ron,0.006418
Sonny,0.006357
Realmeee,0.006357
Misunderstood,0.006357
LILG,0.006357
LP,0.006357
RonnieIcon,0.006357
BOBBY,0.006357
JakeK,0.006187
김도다리,0.0060816
Deview,0.0060816
Ondine,0.0060816
HanifHitmanicSabzevari,0.0059505
DennisDeKoKordnejad,0.0059505
YOUHA,0.0059505
MatthewTishler,0.0059084
LauraBrian,0.0056806
MOpin,0.0056658
진솔,0.0056658
키겐,0.0056658
CameronWarren,0.005659
ShaunSmith,0.005659
HayleyKiyoko,0.005659
MarcusLomax,0.005659
PaulPhamous,0.005659
MaxCooke,0.005659
쥰,0.005655
류재현,0.005519
박보람,0.0055182
강지원,0.0054498
마스터키,0.0051249
ArthurJ,0.0051249
Francis,0.0051249
CL,0.005023
재리포터,0.004941
Stardust,0.004941
ShaeJacobs,0.0048996
PhilipBentley,0.004899
AimeeProal,0.004899
마경식,0.0047448
이종필,0.0047448
NickyvanderLugtMelsert,0.0047151
ADORA,0.0046802
ArlissaRuppert,0.0046802
PeterIbsen,0.0046802
프라임보이,0.0045914
12!3,0.0045914
주영훈,0.0045777
Noise_bo2,0.0045777
AlexejViktorovitch,0.0045245
JeL,0.0045245
HarrySommerdahl,0.0044665
FabianTorsson,0.0044665
YlvaDimberg,0.0044665
이효리,0.0044574
황인규,0.004422
StephanBenson,0.004322
권덕근,0.0042744
YoungChance,0.0042744
메건리,0.0042458
Zayson,0.0042458
WannaOne(워너원)-트리플포지션,0.0042236
유토,0.0042003
우기,0.0042003
라비(RAVI),0.0041486
은하(EUNHA),0.0041486
명카드라이브,0.0039903
CourtneyJenaeStahl,0.0039065
TimothyTan,0.0039065
StephenStahl,0.0039065
ValDelPrete,0.0039065
박봄(ParkBom),0.0038696
ZacharyChicoine,0.0038686
MarcusLatiefScott,0.0038686
GeoffreyMcCray,0.0038686
NasiaJones,0.0038686
매드몬스터(MADMONSTER),0.003799
범도,0.003799
제피,0.003746
산조웨이브,0.003746
SFRM,0.003746
BeaMiller,0.0037194
Wolftyla,0.0037194
ZigzagNote,0.0036999
EmmaLovBlock,0.0036596
MichaelPollack,0.0036596
AriLeff,0.0036596
JacksonFoote,0.0036596
미성,0.0035646
김정우,0.0035646
최슬기,0.0035646
요아리,0.0035646
SamLewis,0.0034384
허찬,0.003427
세라핀(Seraphine),0.0034236
LexieLiu(려위위),0.0034236
다운,0.003237
BrandonGreen,0.003237
JERRYL,0.0030685
한희준,0.0030685
EdwinHonoret,0.0030015
MichaelMatosic,0.0030015
BrandonArreaga,0.0030015
염따,0.0029565
Postino,0.0029565
G-HIGH,0.002948
Turtleman,0.0029376
한,0.002881
창빈,0.002881
방찬,0.002881
DidrikThott,0.0028328
BrookeWilliams,0.0028328
HarrisonJohnson,0.002784
KarlPowell,0.002784
Otha'Vakseen'DavisIII,0.002784
TheColleagues,0.002784
WOODZ,0.0027656
안예은,0.002753
NODAY,0.0027318
이창현,0.0027282
권진아,0.002679
Baauer,0.0025115
Holly,0.0025115
애프터스쿨,0.002385
온앤오프(ONF),0.002385
Colde,0.0023765
basecamp,0.0023765
Minit,0.0023765
김태영,0.002257
HOFF,0.002257
MELODESIGN,0.002194
Zayvo,0.002125
HAE,0.002125
LanceShipp,0.002078
LaurellBarker,0.002078
NathaliaMarshall,0.002078
LIONCHLD,0.002078
VMP,0.002078
RachaelKennedy,0.002078
DavidAnthony,0.0020067
전소연(SOYEON),0.0019038
신비(여자친구),0.0019038
슬기(SEULGI),0.0019038
청하(CHUNGHA),0.0019038
개코,0.001864
philtre,0.001864
초신성,0.001857
Jean-NoelWilthien,0.0018394
MatthieuTosi,0.0018394
LaurentWilthien,0.0018394
LouisSchoorl,0.0018394
DavidBrook,0.0018394
MarcoBorrero,0.0018394
NickMcKerl,0.0018394
LoganLeeTurner,0.0018394
조성진,0.0017656
주태영,0.0017656
위키미키(WekiMeki),0.0017439
Laser,0.00173
JooYoung,0.00173
리시,0.001691
Simpson,0.001691
서재우,0.0016318
CLC,0.0016148
AustinOwens,0.0015753
JimmyClaeson,0.0015753
JamesFoyeIII,0.0015753
TimDeal,0.001457
SamKlempner,0.001457
김용신,0.001457
ScottQuinn,0.001457
NOD,0.001457
안성찬,0.001457
페이퍼플래닛,0.0013828
real-fantasy,0.00138
장용진,0.0012807
JoeJ.Lee'Kairos',0.0011066
옹성우,0.0010934
로켓펀치(RocketPunch),0.0010934
Yuki,0.0010785
한성호,0.0010785
봉원석,0.0010785
TheoLawrence,0.0010785
KrystaYoungs,0.0010596
FeliciaBarton,0.0010094
AaronBenward,0.0010094
Kio장기호,0.0009759
이지훈,0.0009175
최진석,0.0008924
Off,0.0008924
stainboys,0.0008721
용감한홍차,0.0007366
컨츄리꼬꼬,0.0006711
JonHallgren,0.0006609
MariaBroberg,0.0006609
LukasHallgren,0.0006609
GraceGachotsaka,0.0006609
f(x),0.000558
자자(ZAZA),0.0005535
JohnMajor,0.0005535
히든사운드,0.0005535
NANO,0.0005535
WWW,0.0005535
한강,0.0005535
JarahGibson,0.0005535
DK,0.0005535
강원석,0.0005535
JordanKyle,0.0005535
조미쉘,0.0003682
이정민,0.0003682
MR.강,0.0003682
ThomasTroelsen,0.0003385
황세준,0.0003354
