Id,Label,timeset,Weighted Degree,eigencentrality
ThomasTroelsen,ThomasTroelsen,,0.000305,0.07358
이기광,이기광,,0.030442,0.016462
MSG워너비TOP8(별루지,MSG워너비TOP8(별루지,,0.592544,0.168484
BreyanStanleyIsaac,BreyanStanleyIsaac,,0.013704,0.053933
MadilynBailey,MadilynBailey,,0.113115,0.10989
JensonVaughan,JensonVaughan,,0.00699,0.009294
JooYoung,JooYoung,,0.00346,0.012581
배기현,배기현,,0.020477,0.012581
씨스타,씨스타,,0.138383,0.074885
TimothyTan,TimothyTan,,0.007813,0.088821
LauritzChristiansen,LauritzChristiansen,,0.370694,0.181096
DanielDavidsen,DanielDavidsen,,0.021705,0.034368
PaulPhamous,PaulPhamous,,0.011318,0.088821
이현도,이현도,,0.064064,0.030704
JJEvans,JJEvans,,0.081345,0.071206
별들의전쟁*,별들의전쟁*,,0.058485,0.046205
AfshinSalmani,AfshinSalmani,,0.025351,0.014833
GustavLandell,GustavLandell,,0.022956,0.015586
BrandonArreaga,BrandonArreaga,,0.006003,0.013848
CommandFreaks,CommandFreaks,,0.024869,0.071206
PeterWallevik,PeterWallevik,,0.021705,0.034368
BrianLee,BrianLee,,0.243237,0.033287
ArianaGrande,ArianaGrande,,0.069516,0.033287
Michel'Lindgren'Schulz,Michel'Lindgren'Schulz,,0.555359,0.350873
유엔,유엔,,0.001786,0.004199
PeterRycroft,PeterRycroft,,0.015192,0.01251
MartinCoogan,MartinCoogan,,0.113115,0.10989
선미,선미,,0.682534,0.135841
CazziOpeia,CazziOpeia,,0.461972,0.326859
거북이,거북이,,0.138789,0.002241
송재경,송재경,,0.119702,0.10989
라비,라비,,0.041922,0.008379
STAYC(스테이씨),STAYC(스테이씨),,0.796924,0.139856
김승수,김승수,,0.171302,0.033522
ChloeLatimer,ChloeLatimer,,0.370694,0.181096
KUSH,KUSH,,0.03808,0.004623
WWWAVE,WWWAVE,,0.090066,0.007309
노지훈,노지훈,,0.01847,0.102599
Colde,Colde,,0.004753,0.004125
TesungKim,TesungKim,,0.024978,0.030309
레드쿠키,레드쿠키,,0.131807,0.00797
마경식,마경식,,0.004255,0.003154
제인스,제인스,,0.201112,0.167058
정국,정국,,0.042412,0.064554
MattTerry,MattTerry,,0.04481,0.032389
RolloSpreckley,RolloSpreckley,,0.01928,0.034368
AWright,AWright,,0.167594,0.138386
RoseInPeace,RoseInPeace,,0.094033,0.031013
MayuWakisaka,MayuWakisaka,,0.07716,0.071206
FCM후디니,FCM후디니,,0.008844,0.010551
Noheul,Noheul,,0.015169,0.014566
볼빨간사춘기,볼빨간사춘기,,0.050008,0.011351
th!nk,th!nk,,0.020477,0.012581
박우상,박우상,,0.606414,0.116685
AndreasCarlsson,AndreasCarlsson,,0.007813,0.026937
DamonThomas,DamonThomas,,0.022063,0.013848
김석찬,김석찬,,0.018921,0.018582
DavidQuinones,DavidQuinones,,0.091358,0.015441
NinosHanna,NinosHanna,,0.021234,0.034368
빌리카빈,빌리카빈,,0.020477,0.012581
aespa,aespa,,2.331237,0.572262
ChrisWahle,ChrisWahle,,0.014746,0.010201
JADEDJANE,JADEDJANE,,0.062404,0.04979
JoshMcClelland,JoshMcClelland,,0.04481,0.032389
BrandonGreen,BrandonGreen,,0.006474,0.088821
TWICE(트와이스),TWICE(트와이스),,2.750763,1
비,비,,0.240555,0.044025
MooF,MooF,,0.081345,0.071206
Katrine'Neya'Klith,Katrine'Neya'Klith,,0.091358,0.015441
DaishiDance,DaishiDance,,0.083344,0.008244
안지영,안지영,,0.017908,0.005156
philtre,philtre,,0.003728,0.034368
EllenBergTollbom,EllenBergTollbom,,0.14042,0.095381
DavidAmber,DavidAmber,,0.039505,0.138386
JoshCumbee,JoshCumbee,,0.025351,0.014833
4minute,4minute,,0.01847,0.102599
그루비룸,그루비룸,,0.232703,0.025235
SamMerrifield,SamMerrifield,,0.013185,0.069198
양요섭,양요섭,,0.353106,0.007221
키(KEY),키(KEY),,0.024109,0.07245
방건우,방건우,,0.014437,0.028671
GabrielBrunellBrandes,GabrielBrunellBrandes,,0.028833,0.018329
투챔프,투챔프,,0.332641,0.00797
SlymeYoung,SlymeYoung,,0.13401,0.006766
JeppeLondon,JeppeLondon,,0.383879,0.250294
홍지상,홍지상,,0.06398,0.011749
AnyMasingga,AnyMasingga,,0.048439,0.069198
RonnieIcon,RonnieIcon,,0.012714,0.018329
SHINee(샤이니),SHINee(샤이니),,1.069085,0.476226
BIGBANG(빅뱅),BIGBANG(빅뱅),,0.309684,0.028154
AimeeProal,AimeeProal,,0.009798,0.031013
BreadBeat,BreadBeat,,0.001203,0.010551
에일리(Ailee),에일리(Ailee),,0.036639,0.009928
온앤오프(ONF),온앤오프(ONF),,0.00477,0.0061
Cutfather,Cutfather,,0.03489,0.103566
StephenStahl,StephenStahl,,0.007813,0.026937
CameronWalker,CameronWalker,,0.04481,0.032389
GustavKarlstrom,GustavKarlstrom,,0.012955,0.006039
지나,지나,,0.01847,0.102599
JosephinaCarr,JosephinaCarr,,0.025351,0.014833
RossGolan,RossGolan,,0.036434,0.020555
전군,전군,,0.674997,0.274091
임민기,임민기,,0.020694,0.007613
ZacchariahPalmer,ZacchariahPalmer,,0.113115,0.10989
MarciaSondeijker,MarciaSondeijker,,0.094033,0.031013
JulienMauriceMoore,JulienMauriceMoore,,0.018566,0.053933
AsiaWhiteacre,AsiaWhiteacre,,0.021705,0.034368
SimonPetren,SimonPetren,,0.034189,0.040407
2NE1,2NE1,,0.076161,0.014687
AndreasJohansson,AndreasJohansson,,0.180052,0.071206
라이언전,라이언전,,0.007813,0.026937
YlvaDimberg,YlvaDimberg,,0.008933,0.045591
Vincenzo,Vincenzo,,0.095515,0.069198
MaxCooke,MaxCooke,,0.011318,0.036846
PRISMFILTER,PRISMFILTER,,0.018766,0.011749
라치카(LACHICA),라치카(LACHICA),,0.017688,0.031425
Apink(에이핑크),Apink(에이핑크),,0.191772,0.181827
강명신,강명신,,0.037417,0.003154
BekuhBOOM,BekuhBOOM,,0.127582,0.041228
moonc,moonc,,0.037417,0.003154
어벤전승,어벤전승,,0.016843,0.017684
InnerChild,InnerChild,,0.039099,0.0092
UzoechiEmenike,UzoechiEmenike,,0.06518,0.138386
한재호,한재호,,0.008844,0.00485
권진아,권진아,,0.005358,0.013652
MUSOH,MUSOH,,1.09688,0.225458
WyattSanders,WyattSanders,,0.057358,0.046887
GALACTIKA,GALACTIKA,,0.13496,0.046205
MaxLynedochGraham,MaxLynedochGraham,,0.025421,0.07358
송수윤,송수윤,,0.008844,0.00485
임현식,임현식,,0.011318,0.036846
DavidWilson,DavidWilson,,0.057358,0.046887
CHOICE37,CHOICE37,,0.012714,0.006248
EJAE,EJAE,,0.18374,0.121179
ThomasEriksen,ThomasEriksen,,0.000305,0.07358
JS,JS,,0.230471,0.00797
NOD,NOD,,0.002914,0.016462
TommyBrown,TommyBrown,,0.131005,0.171673
FUTUREBOUNCE,FUTUREBOUNCE,,0.320449,0.041228
진영,진영,,0.037197,0.075605
CharlotteWilson,CharlotteWilson,,0.097931,0.046205
폴킴,폴킴,,0.124166,0.020688
